| Task | Language | Metric | BLOOM-176B | OPT-175B* |
| gsarti/flores_101_mon | mon | byte_perplexity ↓ | 3.095 | 4.519 |
| gsarti/flores_101_mri | mri | byte_perplexity ↓ | 5.266 | 4.438 |
| gsarti/flores_101_msa | msa | byte_perplexity ↓ | 2.222 | 2.935 |
| gsarti/flores_101_mya | mya | byte_perplexity ↓ | 2.523 | 2.413 |
| gsarti/flores_101_nld | nld | byte_perplexity ↓ | 2.799 | 2.293 |
| gsarti/flores_101_nob | nob | byte_perplexity ↓ | 3.629 | 2.593 |
| gsarti/flores_101_npi | npi | byte_perplexity ↓ | 6.666 | 2.499 |
| gsarti/flores_101_nso | nso | byte_perplexity ↓ | 5.015 | 8.485 |
| gsarti/flores_101_nya | nya | byte_perplexity ↓ | 4.938 | 7.548 |
| gsarti/flores_101_oci | oci | byte_perplexity ↓ | 3.607 | 4.936 |
| gsarti/flores_101_orm | orm | byte_perplexity ↓ | 11.316 | 7.145 |
| gsarti/flores_101_ory | ory | byte_perplexity ↓ | 5.982 | 2.668 |
| gsarti/flores_101_pan | pan | byte_perplexity ↓ | 4.772 | 2.782 |
| gsarti/flores_101_pol | pol | byte_perplexity ↓ | 3.012 | 2.432 |
| gsarti/flores_101_por | por | byte_perplexity ↓ | 1.841 | 2.178 |
| gsarti/flores_101_pus | pus | byte_perplexity ↓ | 4.624 | 4.785 |
| gsarti/flores_101_ron | ron | byte_perplexity ↓ | 3.05 | 2.197 |
| gsarti/flores_101_rus | rus | byte_perplexity ↓ | 1.708 | 1.689 |
| gsarti/flores_101_slk | slk | byte_perplexity ↓ | 4.038 | 3.419 |
| gsarti/flores_101_slv | slv | byte_perplexity ↓ | 4.141 | 3.582 |
| gsarti/flores_101_sna | sna | byte_perplexity ↓ | 4.711 | 5.588 |
| gsarti/flores_101_snd | snd | byte_perplexity ↓ | 4.206 | 5.667 |
| gsarti/flores_101_som | som | byte_perplexity ↓ | 9.154 | 4.788 |
| gsarti/flores_101_spa | spa | byte_perplexity ↓ | 1.796 | 2.098 |
| gsarti/flores_101_srp | srp | byte_perplexity ↓ | 2.241 | 2.688 |
| gsarti/flores_101_swe | swe | byte_perplexity ↓ | 3.345 | 2.468 |
| gsarti/flores_101_swh | swh | byte_perplexity ↓ | 2.684 | 4.473 |
| gsarti/flores_101_tam | tam | byte_perplexity ↓ | 5.165 | 2.024 |
| gsarti/flores_101_tel | tel | byte_perplexity ↓ | 6.81 | 2.407 |
| gsarti/flores_101_tgk | tgk | byte_perplexity ↓ | 3.785 | 4.899 |
| gsarti/flores_101_tgl | tgl | byte_perplexity ↓ | 3.75 | 2.738 |
| gsarti/flores_101_tha | tha | byte_perplexity ↓ | 2.104 | 2.035 |
| gsarti/flores_101_tur | tur | byte_perplexity ↓ | 3.318 | 2.622 |
| gsarti/flores_101_ukr | ukr | byte_perplexity ↓ | 2.089 | 1.93 |
| gsarti/flores_101_umb | umb | byte_perplexity ↓ | 11.766 | 11.64 |
| gsarti/flores_101_urd | urd | byte_perplexity ↓ | 1.779 | 2.982 |
| gsarti/flores_101_uzb | uzb | byte_perplexity ↓ | 8.5 | 13.209 |
| gsarti/flores_101_vie | vie | byte_perplexity ↓ | 1.659 | 2.229 |
| gsarti/flores_101_wol | wol | byte_perplexity ↓ | 6.142 | 13.945 |
| gsarti/flores_101_xho | xho | byte_perplexity ↓ | 4.69 | 8.42 |
| gsarti/flores_101_yor | yor | byte_perplexity ↓ | 4.361 | 7.636 |
| gsarti/flores_101_zho_simpl | zho_simpl | byte_perplexity ↓ | 2.118 | 5.113 |
| gsarti/flores_101_zho_trad | zho_trad | byte_perplexity ↓ | 2.274 | 5.67 |
| gsarti/flores_101_zul | zul | byte_perplexity ↓ | 6.017 | 7.341 |
| headqa | esp | acc ↑ | 0.346 | 0.244 |
| hellaswag | eng | acc ↑ | 0.535 | 0.592 |
| lambada_mt_de | deu | acc ↑ | 0.329 | 0.358 |
| lambada_mt_en | eng | acc ↑ | 0.672 | 0.747 |
| lambada_mt_es | esp | acc ↑ | 0.476 | 0.397 |
| lambada_mt_it | ita | acc ↑ | 0.406 | 0.409 |
| logiqa | eng | acc ↑ | 0.235 | 0.244 |
| mathqa | eng | acc ↑ | 0.277 | 0.268 |
| mc_taco | eng | em ↑ | 0.131 | 0.124 |
| mnli (Median of 15 prompts) | eng | acc ↑ | 0.355 | 0.36 |
| mnli_mismatched (Median of 15 prompts) | eng | acc ↑ | 0.355 | 0.36 |
| mrpc | eng | acc ↑ | 0.387 | 0.446 |
| multirc (Median of 11 prompts) | eng | acc ↑ | 0.571 | 0.599 |
| openbookqa | eng | acc ↑ | 0.312 | 0.322 |
| piqa | eng | acc ↑ | 0.781 | 0.791 |
| prost | eng | acc ↑ | 0.298 | 0.299 |
| pubmedqa | eng | acc ↑ | 0.741 | 0.709 |
| qnli | eng | acc ↑ | 0.517 | 0.554 |
| qqp (Median of 7 prompts) | eng | acc ↑ | 0.588 | 0.395 |
| race | eng | acc ↑ | 0.39 | 0.402 |
| rte (Median of 6 prompts) | eng | acc ↑ | 0.52 | 0.495 |
| sciq | eng | acc ↑ | 0.936 | 0.948 |
| sst (Median of 6 prompts) | eng | acc ↑ | 0.604 | 0.647 |
| triviaqa | eng | acc ↑ | 0.183 | 0.342 |
| tydiqa_primary (Median of 16 prompts) | eng | acc ↑ | 0.281 | 0.148 |
| webqs | eng | acc ↑ | 0.062 | 0.159 |
| wic (Median of 11 prompts) | eng | acc ↑ | 0.506 | 0.498 |
| winogrande | eng | acc ↑ | 0.71 | 0.736 |
| wnli (Median of 6 prompts) | eng | acc ↑ | 0.57 | 0.563 |
| wsc (Median of 11 prompts) | eng | acc ↑ | 0.519 | 0.413 |
| humaneval | python | pass@1 ↑ | 0.155 | 0.0 |
| humaneval | python | pass@10 ↑ | 0.322 | 0.0 |
| humaneval | python | pass@100 ↑ | 0.555 | 0.003 |
